ingredient_name,unit_lower,portion_match,nutrient_match,n,mean_grams,total_grams
Fresh lime juice,dl,fresh pasta,"lime juice, raw",7,194.28571428571428,1360.0
"Green bell pepper, diced",medium,"chili pepper, red","sweet pepper, green, raw",9,145.0,1305.0
"Dumpling wrappers, wheat flour",pieces,"tortilla, wheat flour","pasta, plain, uncooked",1,1200.0,1200.0
"Red bell pepper, raw",pieces,"chili pepper, red","sweet pepper, red, raw",4,290.0,1160.0
"Green bell pepper, sliced",medium,"chili pepper, red","sweet pepper, green, raw",8,145.0,1160.0
Red bell pepper,piece,"chili pepper, red","sweet pepper, red, raw",8,145.0,1160.0
"Bell pepper, red, raw",pieces,"chili pepper, red","sweet pepper, red, raw",3,386.6666666666667,1160.0
"Bell pepper, large, any color",pieces,extra large eggs,"sweet pepper, green, raw",2,580.0,1160.0
red bell pepper,pieces,"chili pepper, red","sweet pepper, red, raw",3,386.6666666666667,1160.0
red bell pepper,medium,"chili pepper, red","sweet pepper, red, raw",6,193.33333333333334,1160.0
Rice vinegar,tbsp,rice flour,"vinegar, 7 %",84,13.75,1155.0
"Greek yogurt, 0% fat",dl,"cream substitute, vegetable fat","yoghurt, plain, 2 % fat, greek/turkish",10,115.0,1150.0
"Egg roll wrappers, spring roll wrappers",pieces,"egg, boiled","pasta, plain, uncooked",2,560.0,1120.0
Whole wheat hamburger buns,pieces,hamburger bun,"bread, roll, mexican, bollilo",3,373.3333333333333,1120.0
wholemeal burger buns,piece,wholemeal flour,"bread, roll, mexican, bollilo",3,373.3333333333333,1120.0
wholemeal burger bun,pieces,wholemeal flour,"bread, roll, mexican, bollilo",2,560.0,1120.0
